Term	Index	Ancestors
GO:0032994	617	0 2
GO:0031389	618	0 2
GO:0097452	619	0 2
GO:0098798	620	0 2
GO:0017102	621	0 2
GO:0036038	622	0 2
GO:0120099	623	0 2
GO:1990682	624	0 2
GO:0031511	625	0 2
GO:0033104	626	0 2
GO:0099023	627	0 2
GO:0034748	628	0 2
GO:0097347	629	0 2
GO:0031838	630	0 2
GO:0005931	631	0 2
GO:1990104	632	0 2
GO:0071141	633	0 2
GO:1990078	634	0 2
GO:0097495	635	0 2
GO:1990811	636	0 2
GO:0140451	637	0 2
GO:1990597	638	0 2
GO:0070422	639	0 2
GO:0062167	640	0 2
GO:1990667	641	0 2
GO:0001536	642	0 2
GO:0061700	643	0 2
GO:0005602	644	0 2
GO:0110078	645	0 2
GO:0036452	646	0 2
GO:0031521	647	0 2
GO:0036398	648	0 2
GO:0030257	649	0 2
GO:1990130	650	0 2
GO:0005854	651	0 2
GO:1990904	652	0 2
GO:0071817	653	0 2
GO:1990463	654	0 2
GO:0097619	655	0 2
GO:0120216	656	0 2
GO:1990229	657	0 2
GO:0005851	658	0 2
GO:0062092	659	0 2
GO:1990727	660	0 2
GO:1990563	661	0 2
GO:0030314	662	0 2
GO:1990509	663	0 2
GO:0035859	664	0 2
GO:0048180	665	0 2
GO:1990630	666	0 2
GO:1990923	667	0 2
GO:0016459	668	0 2
GO:0015627	669	0 2
GO:0005833	670	0 2
GO:0032766	671	0 2
GO:0000940	672	0 2
GO:0031395	673	0 2
GO:0030080	674	0 2
GO:0038059	675	0 2
GO:0097373	676	0 2
GO:0120155	677	0 2
GO:0043514	678	0 2
GO:1990252	679	0 2
GO:1990728	680	0 2
GO:0042555	681	0 2
GO:0000939	682	0 2
GO:0005850	683	0 2
GO:0070441	684	0 2
GO:0018444	685	0 2
GO:1990065	686	0 2
GO:0030993	687	0 2
GO:0036454	688	0 2
GO:0000974	689	0 2
GO:0001114	690	0 2
GO:0106333	691	0 2
GO:0008091	692	0 2
GO:1990533	693	0 2
GO:0030256	694	0 2
GO:0033186	695	0 2
GO:0030992	696	0 2
GO:0002193	697	0 2
GO:0071075	698	0 2
GO:0033061	699	0 2
GO:1990733	700	0 2
GO:0098030	701	0 3
GO:0098021	702	0 3
GO:0098027	703	0 3
GO:0019028	704	0 3
GO:0098031	705	0 3
GO:0098026	706	0 3
GO:0039626	707	0 3
GO:0055036	708	0 3
GO:0036338	709	0 3
GO:0046729	710	0 3
GO:0098029	711	0 3
GO:0019033	712	0 3
GO:0098023	713	0 3
GO:0098024	714	0 3
GO:0098028	715	0 3
GO:0098025	716	0 3
GO:0098061	717	0 3
GO:0019013	718	0 3
GO:0039625	719	0 3
GO:0039642	720	0 3
GO:0039624	721	0 3
GO:0098015	722	0 3
GO:0046727	723	0 3
GO:0099522	724	0 1 6
GO:0043229	725	0 1 7
GO:0043228	726	0 1 7
GO:0043227	727	0 1 7
GO:0099572	728	0 1 7
GO:0043230	729	0 1 7
GO:1990385	730	0 1 8
GO:1990023	731	0 1 8
GO:0044100	732	0 1 10
GO:0016234	733	0 1 10
GO:0046821	734	0 1 10
GO:0070725	735	0 1 10
GO:0009579	736	0 1 10
GO:0070090	737	0 1 10
GO:0005727	738	0 1 10
GO:0070477	739	0 1 10
GO:0097686	740	0 1 12
GO:1990723	741	0 1 30
GO:1990020	742	0 1 53
GO:1990021	743	0 1 53
GO:1990901	744	0 1 61
GO:1990902	745	0 1 61
GO:0044225	746	0 1 61
GO:0051286	747	0 1 61
GO:0090712	748	0 1 61
GO:0044226	749	0 1 61
GO:0005863	750	0 1 64 396 965 2019 3198
GO:0005865	751	0 1 64
GO:0035363	752	0 1 65
GO:0015030	753	0 1 65
GO:0016605	754	0 1 65
GO:0016607	755	0 1 65
GO:0042382	756	0 1 65
GO:0010445	757	0 1 65
GO:0071920	758	0 1 65
GO:0097504	759	0 1 65
GO:0035061	760	0 1 65
GO:1990251	761	0 1 65
GO:0016606	762	0 1 65
GO:0071601	763	0 1 65
GO:0005826	764	0 1 66
GO:0032589	765	0 1 69 309 910 1939
GO:0032587	766	0 1 69 309 910 1939
GO:0031258	767	0 1 69 309 910 1939
GO:0097453	768	0 1 72
GO:0097219	769	0 1 75
GO:0097220	770	0 1 75
GO:0097431	771	0 1 76
GO:0090619	772	0 1 76
GO:0072563	773	0 1 80
GO:0031259	774	0 1 82 309 910 1939
GO:0098595	775	0 1 97
GO:0099544	776	0 1 97
GO:0043083	777	0 1 97
GO:0048046	778	0 1 97
GO:0061496	779	0 1 101
GO:0099568	780	0 1 107
GO:0045495	781	0 1 107
GO:1990917	782	0 1 107
GO:0005938	783	0 1 107
GO:0016528	784	0 1 107
GO:0043596	785	0 1 112
GO:0043597	786	0 1 112
GO:0036391	787	0 1 7 118 725 726 1703 2835 3469 3862
GO:0032174	788	0 1 7 118 266 725 726 1703 2835 3469 3861
GO:0000144	789	0 1 7 118 266 725 726 1703 2835 3469 3862
GO:0032177	790	0 1 7 118 266 725 726 1703 2835 3469 3866
GO:0032169	791	0 1 7 118 725 726 1703 2835 3469 3862
GO:0062199	792	0 1 120
GO:0000775	793	0 1 120
GO:0005704	794	0 1 120
GO:0005703	795	0 1 120
GO:0000781	796	0 1 120
GO:0005705	797	0 1 120
GO:0034507	798	0 1 120
GO:0034506	799	0 1 120
GO:0031978	800	0 1 126
GO:0031979	801	0 1 126 392 960 2011 2014 3166
GO:0070117	802	0 1 126
GO:0005715	803	0 1 138
GO:0005714	804	0 1 138
GO:0061498	805	0 1 139
GO:0032391	806	0 1 153
GO:0061497	807	0 1 158
GO:0030313	808	0 1 159
GO:0031967	809	0 1 159
GO:0002140	810	0 1 164
GO:0002141	811	0 1 164
GO:0035838	812	0 1 61 169 747
GO:0030426	813	0 1 169
GO:0005935	814	0 1 169
GO:0043332	815	0 1 61 169 747
GO:0001411	816	0 1 61 169 747
GO:0005934	817	0 1 169
GO:0043667	818	0 1 172
GO:0031012	819	0 1 172
GO:0005618	820	0 1 172
GO:0030115	821	0 1 172
GO:0030112	822	0 1 172
GO:0042600	823	0 1 172
GO:0106139	824	0 1 173
GO:0044218	825	0 1 173
GO:0034430	826	0 1 177
GO:0033105	827	0 1 177
GO:0061499	828	0 1 196
GO:0061493	829	0 1 199
GO:0070470	830	0 1 207
GO:0005746	831	0 1 207
GO:0043657	832	0 1 208
GO:0033643	833	0 1 208
GO:0043655	834	0 1 208
GO:0099070	835	0 1 212
GO:1905720	836	0 1 212
GO:0099071	837	0 1 212
GO:1901589	838	0 1 212
GO:1990039	839	0 1 218
GO:0016029	840	0 1 218 252 876
GO:0097685	841	0 1 227
GO:0097612	842	0 1 227
GO:0097611	843	0 1 227
GO:0009897	844	0 1 228
GO:0098562	845	0 1 228
GO:0098569	846	0 1 228
GO:0098572	847	0 1 228
GO:0098571	848	0 1 228
GO:0031241	849	0 1 228
GO:0098570	850	0 1 228
GO:0098576	851	0 1 228
GO:0031240	852	0 1 228
GO:0043590	853	0 1 7 231 725 726 1703
GO:0042646	854	0 1 7 231 725 726 1703
GO:0042645	855	0 1 7 231 725 726 1703
GO:0043679	856	0 1 233 253
GO:0097518	857	0 1 234
GO:0031003	858	0 1 234
GO:0097517	859	0 1 234
GO:0031002	860	0 1 234
GO:0032421	861	0 1 235
GO:0005903	862	0 1 235
GO:0036240	863	0 1 237
GO:0030287	864	0 1 237
GO:0030288	865	0 1 237
GO:0031230	866	0 1 245
GO:0016021	867	0 1 245
GO:0031300	868	0 1 245
GO:0031225	869	0 1 245
GO:0031226	870	0 1 245
GO:0097633	871	0 1 245
GO:0031360	872	0 1 245
GO:0098791	873	0 1 252
GO:0032046	874	0 1 252
GO:0031976	875	0 1 10 252 736
GO:0098827	876	0 1 252
GO:0043195	877	0 1 253
GO:0042764	878	0 1 254
GO:0042601	879	0 1 254
GO:0097424	880	0 1 255
GO:0005731	881	0 1 255
GO:0120025	882	0 1 256
GO:0009289	883	0 1 256
GO:0090395	884	0 1 256
GO:0009288	885	0 1 7 256 726
GO:0097589	886	0 1 7 256 726
GO:0085035	887	0 1 256
GO:0120200	888	0 1 280
GO:0120199	889	0 1 280
GO:0032163	890	0 1 296
GO:0032162	891	0 1 296
GO:1990435	892	0 1 302
GO:1990434	893	0 1 302
GO:0097687	894	0 1 303
GO:0070702	895	0 1 305
GO:0070703	896	0 1 305
GO:0031090	897	0 1 309
GO:0140549	898	0 1 309
GO:0042175	899	0 1 309
GO:0034357	900	0 1 309
GO:0005886	901	0 1 309
GO:0036362	902	0 1 309
GO:0005628	903	0 1 309
GO:0048475	904	0 1 309
GO:0005642	905	0 1 309
GO:0140221	906	0 1 309
GO:0070056	907	0 1 309
GO:0019867	908	0 1 309
GO:0034045	909	0 1 309
GO:0098590	910	0 1 309
GO:0098857	911	0 1 309
GO:0045202	912	0 1 310
GO:0120118	913	0 1 310
GO:0070161	914	0 1 310
GO:0043197	915	0 1 256 311 882 1898 3048
GO:0098975	916	0 1 311
GO:0140525	917	0 1 317
GO:0030479	918	0 1 320
GO:0120095	919	0 1 322
GO:1990816	920	0 1 322
GO:0044289	921	0 1 322
GO:0044233	922	0 1 322
GO:0071561	923	0 1 322
GO:0140284	924	0 1 322
GO:0140268	925	0 1 322
GO:0044284	926	0 1 322
