Term	Index	Ancestors
GO:0001965	469	0 6 61
GO:0031072	470	0 6 61
GO:0008134	471	0 6 61
GO:0044548	472	0 6 61
GO:0001846	473	0 6 61
GO:0051787	474	0 6 61
GO:0070064	475	0 6 61
GO:0043621	476	0 6 61
GO:0050839	477	0 6 61
GO:0097602	478	0 6 61
GO:0051018	479	0 6 61
GO:0038100	480	0 6 61
GO:0045505	481	0 6 61
GO:0001918	482	0 6 61
GO:0032767	483	0 6 61
GO:0097655	484	0 6 61
GO:0030984	485	0 6 61
GO:0098769	486	0 6 61
GO:0061675	487	0 6 61
GO:0043548	488	0 6 61
GO:0098770	489	0 6 61
GO:0046332	490	0 6 61
GO:1990935	491	0 6 61
GO:0071253	492	0 6 61
GO:0045569	493	0 6 61
GO:0043532	494	0 6 61
GO:0031423	495	0 6 61
GO:0097110	496	0 6 61
GO:0051959	497	0 6 61
GO:0042988	498	0 6 61
GO:0008092	499	0 6 61
GO:0089710	500	0 6 61
GO:0032182	501	0 6 61
GO:0031369	502	0 6 61
GO:0045295	503	0 6 61
GO:0032794	504	0 6 61
GO:0017147	505	0 6 61
GO:0039706	506	0 6 61
GO:0001848	507	0 6 61
GO:0055100	508	0 6 61 68
GO:0005516	509	0 6 61
GO:0031681	510	0 6 61
GO:0045503	511	0 6 61
GO:0046980	512	0 6 61
GO:0002039	513	0 6 61
GO:0044325	514	0 6 61
GO:0030881	515	0 6 61
GO:0043221	516	0 6 61
GO:0030492	517	0 6 61
GO:0001968	518	0 6 61
GO:0051082	519	0 6 61
GO:0045152	520	0 6 61
GO:1990405	521	0 6 61 98
GO:0051021	522	0 6 61
GO:0043560	523	0 6 61
GO:0000149	524	0 6 61
GO:0046977	525	0 6 61
GO:1990430	526	0 6 61
GO:0070097	527	0 6 61
GO:0051219	528	0 6 61
GO:0089719	529	0 6 61
GO:0106151	530	0 6 61
GO:0034711	531	0 6 61
GO:0070866	532	0 6 61
GO:0047485	533	0 6 61
GO:0051738	534	0 6 63 82 603
GO:0005550	535	0 6 65
GO:0046789	536	0 6 67
GO:1990239	537	0 6 68 82 91 601
GO:0005497	538	0 6 68
GO:0005500	539	0 6 68 82 603
GO:0099130	540	0 6 68
GO:0044373	541	0 6 68
GO:0010427	542	0 6 52 68 73 82 344 346 578 603 1596 3461
GO:0017046	543	0 6 68 78 587
GO:0038106	544	0 6 68
GO:0010331	545	0 6 52 68 82 346 603
GO:0070324	546	0 6 68
GO:0048408	547	0 6 61 68 464
GO:0010011	548	0 6 68
GO:0035100	549	0 6 52 68 82 91 344 601 1623
GO:1904399	550	0 6 51 69 338
GO:0043544	551	0 6 69 78 90 91
GO:0043199	552	0 6 69 73 578
GO:0031405	553	0 6 52 69 73 82 90 91 346 578 600 1596 3461
GO:0009374	554	0 6 52 69 73 78 90 91 345 346 578 1596 3461
GO:0035374	555	0 6 51 69 338
GO:0030977	556	0 6 52 69 73 346 578 1594
GO:0043295	557	0 6 69 73 78 79 578 587 1613
GO:0030975	558	0 6 52 69 73 90 91 344 345 579
GO:0043924	559	0 6 69 73 578
GO:2001147	560	0 6 69 90 91
GO:0008201	561	0 6 51 69 338
GO:0035373	562	0 6 51 61 69 334 338
GO:0036173	563	0 6 69 73 578
GO:0030976	564	0 6 52 69 73 90 91 95 345 578 579
GO:0016596	565	0 6 69 90 91
GO:1902485	566	0 6 52 69 73 346 578 579 1208 1596
GO:0120227	567	0 6 51 52 69 78 90 91 315 348 622 1172 1229 3221 3244
GO:0035730	568	0 6 69 73 578
GO:1904047	569	0 6 69 73 579
GO:0043395	570	0 6 51 61 69 334
GO:0050656	571	0 6 51 52 69 73 90 91 315 348 578 622 1172 1229 3221 3244
GO:0008658	572	0 6 52 69 73 78 90 91 346 578 1596 3461
GO:0036127	573	0 6 52 69 73 79 346 578 1208 1596
GO:0019809	574	0 6 71 73 579
GO:0019810	575	0 6 71 73 579
GO:0120274	576	0 6 72
GO:0001618	577	0 6 72
GO:0043168	578	0 6 73
GO:0043169	579	0 6 73
GO:0097244	580	0 6 73 74 578
GO:0097245	581	0 6 74 90 91
GO:0097247	582	0 6 74 90 91
GO:0005528	583	0 6 78 90 91 634
GO:0010013	584	0 6 52 73 78 91 346 578 1596 3461
GO:0031177	585	0 6 52 78 79 345
GO:0051870	586	0 6 52 73 78 90 91 346 578 1596
GO:0042277	587	0 6 78
GO:0005542	588	0 6 52 73 78 79 90 91 345 346 578 1596
GO:0097001	589	0 6 78 82 602
GO:1901602	590	0 6 52 73 78 90 91 346 578 1596 3461
GO:1904408	591	0 6 78 90 91
GO:0001786	592	0 6 79 82 604
GO:0051871	593	0 6 73 79 90 91 578 1596
GO:0072544	594	0 6 52 73 79 91 346 578 1208 1596
GO:0051536	595	0 6 81
GO:1901707	596	0 6 52 82 90 91 346
GO:0140090	597	0 6 82
GO:0071723	598	0 6 78 82 587
GO:0019992	599	0 6 82
GO:0005504	600	0 6 73 82 578 1596 3461
GO:0005496	601	0 6 82 91
GO:0046625	602	0 6 82
GO:0019840	603	0 6 82
GO:0005543	604	0 6 82
GO:0030882	605	0 6 82 98
GO:1901567	606	0 6 82
GO:0017129	607	0 6 82
GO:0030247	608	0 6 83
GO:0120153	609	0 6 83
GO:0070492	610	0 6 83
GO:0031626	611	0 6 78 86 587
GO:0042166	612	0 6 73 86 579
GO:0070968	613	0 6 52 73 87 90 91 346 578 1596
GO:0048039	614	0 6 87
GO:0071886	615	0 6 89 91
GO:0051378	616	0 6 73 89 90 91 579
GO:0008145	617	0 6 89
GO:0051381	618	0 6 73 90 91 579
GO:0120284	619	0 6 52 73 90 91 346 578 579 1208 1596
GO:0046906	620	0 6 90 91
GO:0033295	621	0 6 52 73 90 91 95 344 346 578 1596 3461
GO:1901265	622	0 6 90 91
GO:0033294	623	0 6 52 73 90 91 346 578 1596 3461
GO:1902444	624	0 6 73 90 91 578
GO:1901973	625	0 6 52 90 91 346 1208
GO:0050809	626	0 6 90 91
GO:0019811	627	0 6 73 90 91 579
GO:0008431	628	0 6 52 90 91 345
GO:0070279	629	0 6 52 90 91 345
GO:0043546	630	0 6 90 91
GO:0031418	631	0 6 52 73 83 90 91 345 346 347 578 1596
GO:0034617	632	0 6 90 91
GO:0003676	633	0 6 90 91
GO:0005527	634	0 6 90 91
GO:0035274	635	0 6 91
GO:1901149	636	0 6 52 73 91 346 578 1596 3461
GO:1902314	637	0 6 91
GO:0035273	638	0 6 73 91 578 1596
GO:0097160	639	0 6 91
GO:0035923	640	0 6 52 91 346
GO:1901338	641	0 6 91
GO:0072545	642	0 6 52 91 346 1208
GO:1905594	643	0 6 91
GO:0035275	644	0 6 91
GO:0044620	645	0 6 93
GO:0031210	646	0 6 73 82 95 579 604
GO:0042605	647	0 6 78 98 587
GO:0060001	648	0 7 26 101
GO:0060002	649	0 7 26 101
GO:0003678	650	0 7 8 103 104 123 785
GO:0033677	651	0 7 8 103 104 117 123 785 786
GO:0003724	652	0 7 8 103 117 123 786
GO:0015616	653	0 7 8 104 123 785
GO:0061775	654	0 7 8 104 123 785
GO:0003918	655	0 7 8 104 123 128 785 899
GO:0140664	656	0 7 8 15 104 123 153 785
