Term	Index	Depth
GO:0007315	1006	3
GO:0007318	1007	3
GO:0007342	1008	3
GO:0008069	1009	3
GO:0008302	1010	3
GO:0008335	1011	3
GO:0008354	1012	3
GO:0009560	1013	3
GO:0009829	1014	3
GO:0009994	1015	3
GO:0016321	1016	3
GO:0016325	1017	3
GO:0016345	1018	3
GO:0016346	1019	3
GO:0019094	1020	3
GO:0030707	1021	3
GO:0030714	1022	3
GO:0030719	1023	3
GO:0030720	1024	3
GO:0030725	1025	3
GO:0035045	1026	3
GO:0035092	1027	3
GO:0035232	1028	3
GO:0035233	1029	3
GO:0035803	1030	3
GO:0040038	1031	3
GO:0042070	1032	3
GO:0042078	1033	3
GO:0042699	1034	3
GO:0042701	1035	3
GO:0043046	1036	3
GO:0044345	1037	3
GO:0045450	1038	3
GO:0045476	1039	3
GO:0045478	1040	3
GO:0046594	1041	3
GO:0048137	1042	3
GO:0048235	1043	3
GO:0048240	1044	3
GO:0048515	1045	3
GO:0048600	1046	3
GO:0055047	1047	3
GO:0060833	1048	3
GO:0061364	1049	3
GO:0061935	1050	3
GO:0061936	1051	3
GO:0061954	1052	3
GO:0061988	1053	3
GO:0080166	1054	3
GO:0080173	1055	3
GO:0090376	1056	3
GO:0090377	1057	3
GO:0090378	1058	3
GO:0090379	1059	3
GO:0090380	1060	3
GO:0120211	1061	3
GO:0120316	1062	3
GO:1903537	1063	3
GO:1905198	1064	3
GO:1905199	1065	3
GO:1990953	1066	3
GO:0030036	1067	3
GO:0030048	1068	3
GO:0051014	1069	3
GO:0006313	1070	3
GO:0032197	1071	3
GO:0032198	1072	3
GO:0070893	1073	3
GO:0043482	1074	3
GO:0061818	1075	3
GO:0036167	1076	3
GO:0090677	1077	3
GO:0045104	1078	3
GO:0001708	1079	3
GO:0001709	1080	3
GO:0002330	1081	3
GO:0007535	1082	3
GO:0010440	1083	3
GO:0010623	1084	3
GO:0021806	1085	3
GO:0030154	1086	3
GO:0031130	1087	3
GO:0032989	1088	3
GO:0035047	1089	3
GO:0043697	1090	3
GO:0045165	1091	3
GO:0048236	1092	3
GO:0048468	1093	3
GO:0048469	1094	3
GO:0071998	1095	3
GO:0001539	1096	3
GO:0003411	1097	3
GO:0016477	1098	3
GO:0021805	1099	3
GO:0021814	1100	3
GO:0043107	1101	3
GO:0070358	1102	3
GO:0071975	1103	3
GO:0071976	1104	3
GO:0097230	1105	3
GO:0097231	1106	3
GO:0003423	1107	3
GO:0008356	1108	3
GO:0010481	1109	3
GO:0014872	1110	3
GO:0017145	1111	3
GO:0020014	1112	3
GO:0021869	1113	3
GO:0022015	1114	3
GO:0040016	1115	3
GO:0048860	1116	3
GO:0055057	1117	3
GO:0090510	1118	3
GO:0090511	1119	3
GO:0098725	1120	3
GO:0110069	1121	3
GO:0046907	1122	3
GO:0051666	1123	3
GO:0051668	1124	3
GO:0061915	1125	3
GO:0070631	1126	3
GO:0070727	1127	3
GO:0071166	1128	3
GO:0120290	1129	3
GO:0032119	1130	3
GO:0032507	1131	3
GO:0043181	1132	3
GO:0051208	1133	3
GO:0051657	1134	3
GO:0097577	1135	3
GO:0097578	1136	3
GO:0098545	1137	3
GO:1990659	1138	3
GO:0035852	1139	3
