Leaf	Index	Depth
GO:0007339	1428	3
GO:0007320	1429	3
GO:0007565	1430	3
GO:0007567	1431	3
GO:0007618	1432	3
GO:0048354	1434	3
GO:0048574	1435	3
GO:0048575	1436	3
GO:0007341	1438	3
GO:0042713	1442	3
GO:0043084	1443	3
GO:0060136	1445	3
GO:0060137	1446	3
GO:0060138	1447	3
GO:0061956	1448	3
GO:0070684	1449	3
GO:0080001	1450	3
GO:1990068	1451	3
GO:0060472	1455	3
GO:0060517	1456	3
GO:1904541	1457	3
GO:0030317	1459	3
GO:0097723	1460	3
GO:0000709	1463	3
GO:0006279	1464	3
GO:0007131	1465	3
GO:0030989	1467	3
GO:0030999	1468	3
GO:0031322	1469	3
GO:0032118	1470	3
GO:0034089	1473	3
GO:0034217	1475	3
GO:0051026	1480	3
GO:0051232	1482	3
GO:0051257	1483	3
GO:0051755	1489	3
GO:0051756	1490	3
GO:0051878	1491	3
GO:0062120	1494	3
GO:0070197	1496	3
GO:0070583	1497	3
GO:0070591	1498	3
GO:0072461	1500	3
GO:0090172	1501	3
GO:0140456	1503	3
GO:1902441	1504	3
GO:1902972	1505	3
GO:1902974	1506	3
GO:1902976	1507	3
GO:1902978	1508	3
GO:1902980	1509	3
GO:1902982	1510	3
GO:1902984	1511	3
GO:1903563	1512	3
GO:1990395	1514	3
GO:1990898	1515	3
GO:1990899	1516	3
GO:1990918	1517	3
GO:0062209	1518	3
GO:1905262	1519	3
GO:1905263	1520	3
GO:0003385	1523	3
GO:0007495	1525	3
GO:0007499	1526	3
GO:0016204	1528	3
GO:0021937	1529	3
GO:0035425	1530	3
GO:0038001	1532	3
GO:0038002	1533	3
GO:0060656	1537	3
GO:0060657	1538	3
GO:0060673	1539	3
GO:0060764	1541	3
GO:0060802	1542	3
GO:0061939	1544	3
GO:0072043	1545	3
GO:0110094	1549	3
GO:0140676	1550	3
GO:0150099	1552	3
GO:0198738	1553	3
GO:0021809	1554	3
GO:0021810	1555	3
GO:0021811	1556	3
GO:0021939	1557	3
GO:0060668	1558	3
GO:0019226	1559	3
GO:0036076	1563	3
GO:0036077	1564	3
GO:0043931	1565	3
GO:0043932	1566	3
GO:0010223	1567	3
GO:0048755	1568	3
GO:0080181	1570	3
GO:0002534	1571	3
GO:0010573	1572	3
GO:0032601	1573	3
GO:0032604	1575	3
GO:0032605	1576	3
GO:0032609	1578	3
GO:0032613	1580	3
GO:0032614	1581	3
GO:0032615	1582	3
GO:0032616	1583	3
GO:0032618	1584	3
GO:0032619	1585	3
GO:0032621	1587	3
GO:0032622	1588	3
GO:0032623	1589	3
GO:0032624	1590	3
GO:0032625	1591	3
GO:0032626	1592	3
GO:0032627	1593	3
GO:0032628	1594	3
GO:0032629	1595	3
GO:0032630	1596	3
GO:0032631	1597	3
GO:0032632	1598	3
GO:0032633	1599	3
GO:0032634	1600	3
GO:0032635	1601	3
GO:0032636	1602	3
GO:0032637	1603	3
GO:0032638	1604	3
GO:0036301	1606	3
GO:0044467	1607	3
GO:0044807	1608	3
GO:0044808	1609	3
GO:0070753	1610	3
GO:0071611	1612	3
GO:0072633	1614	3
GO:0072635	1615	3
GO:0072637	1616	3
GO:0072639	1617	3
GO:0090269	1618	3
GO:0090360	1619	3
