Term	Index
GO:0030010	808
GO:0030011	809
GO:0030952	810
GO:0042067	811
GO:0045196	812
GO:0061245	813
GO:0061339	814
GO:0071963	815
GO:0001402	816
GO:0002764	817
GO:0006984	818
GO:0007166	819
GO:0007186	820
GO:0007210	821
GO:0007212	822
GO:0007602	823
GO:0009755	824
GO:0009756	825
GO:0009863	826
GO:0010017	827
GO:0010019	828
GO:0010850	829
GO:0023019	830
GO:0023041	831
GO:0030522	832
GO:0030968	833
GO:0031930	834
GO:0032005	835
GO:0035556	836
GO:0038034	837
GO:0038183	838
GO:0055095	839
GO:0060395	840
GO:0060863	841
GO:0071588	842
GO:0090520	843
GO:0097190	844
GO:0097411	845
GO:0097527	846
GO:0098926	847
GO:0098928	848
GO:0099004	849
GO:0106167	850
GO:0140507	851
GO:0140626	852
GO:1903831	853
GO:1990806	854
GO:0008366	855
GO:0032295	856
GO:0006910	857
GO:0008038	858
GO:0009988	859
GO:0009989	860
GO:0048544	861
GO:0012501	862
GO:0036473	863
GO:0070265	864
GO:0070997	865
GO:0001833	866
GO:0001834	867
GO:0002174	868
GO:0003419	869
GO:0010463	870
GO:0014009	871
GO:0033002	872
GO:0033687	873
GO:0035726	874
GO:0035736	875
GO:0035988	876
GO:0036093	877
GO:0048134	878
GO:0048144	879
GO:0050673	880
GO:0051450	881
GO:0060722	882
GO:0061323	883
GO:0061351	884
GO:0070341	885
GO:0070661	886
GO:0071335	887
GO:0071838	888
GO:0072089	889
GO:0072111	890
GO:0090255	891
GO:0097360	892
GO:0160024	893
GO:1990654	894
GO:2000793	895
GO:0009291	896
GO:0009293	897
GO:0009294	898
GO:0090332	899
GO:1990069	900
GO:0010497	901
GO:0110077	902
GO:1990349	903
GO:0016038	904
GO:0016039	905
GO:0007124	906
GO:0009825	907
GO:0009826	908
GO:0048588	909
GO:0051210	910
GO:0051211	911
GO:0006884	912
GO:0006973	913
GO:0010992	914
GO:0045454	915
GO:0046716	916
GO:0055082	917
GO:0070050	918
GO:0051715	919
GO:0000320	920
GO:0000910	921
GO:0000913	922
GO:0000919	923
GO:0007051	924
GO:0007062	925
GO:0007098	926
GO:0007099	927
GO:0007348	928
GO:0008608	929
GO:0010457	930
GO:0030037	931
GO:0032201	932
GO:0032506	933
GO:0034085	934
GO:0034086	935
GO:0034510	936
GO:0034631	937
GO:0044770	938
GO:0044786	939
GO:0044837	940
GO:0045023	941
GO:0051298	942
GO:0051299	943
GO:0051300	944
GO:0051304	945
GO:0051305	946
GO:0051653	947
GO:0060184	948
GO:0061511	949
GO:0070314	950
GO:0071163	951
GO:0071921	952
GO:0071990	953
GO:0097240	954
GO:0110046	955
GO:0110100	956
GO:0140274	957
GO:0140530	958
GO:1902291	959
GO:1902292	960
GO:1902294	961
GO:1902295	962
GO:1902296	963
GO:1902297	964
GO:1902298	965
GO:1902299	966
GO:1902575	967
GO:1903047	968
GO:2000689	969
GO:2000708	970
GO:0022614	971
GO:0022615	972
GO:0140056	973
GO:0001549	974
GO:0001555	975
GO:0001556	976
GO:0001675	977
GO:0002078	978
GO:0007053	979
GO:0007056	980
GO:0007060	981
GO:0007065	982
GO:0007066	983
GO:0007112	984
GO:0007140	985
GO:0007143	986
GO:0007277	987
GO:0007278	988
GO:0007281	989
GO:0007282	990
GO:0007284	991
GO:0007285	992
GO:0007287	993
GO:0007288	994
GO:0007289	995
GO:0007290	996
GO:0007294	997
GO:0007296	998
GO:0007297	999
GO:0007299	1000
GO:0007303	1001
GO:0007306	1002
GO:0007307	1003
GO:0007308	1004
GO:0007312	1005
GO:0007315	1006
GO:0007318	1007
GO:0007342	1008
GO:0008069	1009
GO:0008302	1010
GO:0008335	1011
GO:0008354	1012
GO:0009560	1013
GO:0009829	1014
GO:0009994	1015
GO:0016321	1016
GO:0016325	1017
GO:0016345	1018
GO:0016346	1019
GO:0019094	1020
GO:0030707	1021
GO:0030714	1022
GO:0030719	1023
GO:0030720	1024
GO:0030725	1025
GO:0035045	1026
GO:0035092	1027
GO:0035232	1028
GO:0035233	1029
GO:0035803	1030
GO:0040038	1031
GO:0042070	1032
GO:0042078	1033
GO:0042699	1034
GO:0042701	1035
GO:0043046	1036
GO:0044345	1037
GO:0045450	1038
GO:0045476	1039
GO:0045478	1040
GO:0046594	1041
GO:0048137	1042
GO:0048235	1043
GO:0048240	1044
GO:0048515	1045
GO:0048600	1046
GO:0055047	1047
GO:0060833	1048
GO:0061364	1049
GO:0061935	1050
GO:0061936	1051
GO:0061954	1052
GO:0061988	1053
GO:0080166	1054
GO:0080173	1055
GO:0090376	1056
GO:0090377	1057
GO:0090378	1058
GO:0090379	1059
GO:0090380	1060
GO:0120211	1061
GO:0120316	1062
GO:1903537	1063
GO:1905198	1064
GO:1905199	1065
GO:1990953	1066
GO:0030036	1067
GO:0030048	1068
GO:0051014	1069
GO:0006313	1070
GO:0032197	1071
GO:0032198	1072
GO:0070893	1073
GO:0043482	1074
GO:0061818	1075
GO:0036167	1076
GO:0090677	1077
GO:0045104	1078
GO:0001708	1079
GO:0001709	1080
GO:0002330	1081
GO:0007535	1082
GO:0010440	1083
GO:0010623	1084
GO:0021806	1085
GO:0030154	1086
GO:0031130	1087
GO:0032989	1088
GO:0035047	1089
GO:0043697	1090
GO:0045165	1091
GO:0048236	1092
GO:0048468	1093
GO:0048469	1094
GO:0071998	1095
GO:0001539	1096
GO:0003411	1097
GO:0016477	1098
GO:0021805	1099
GO:0021814	1100
GO:0043107	1101
GO:0070358	1102
GO:0071975	1103
GO:0071976	1104
GO:0097230	1105
GO:0097231	1106
GO:0003423	1107
GO:0008356	1108
GO:0010481	1109
GO:0014872	1110
GO:0017145	1111
GO:0020014	1112
GO:0021869	1113
GO:0022015	1114
GO:0040016	1115
GO:0048860	1116
GO:0055057	1117
GO:0090510	1118
GO:0090511	1119
GO:0098725	1120
GO:0110069	1121
GO:0046907	1122
GO:0051666	1123
GO:0051668	1124
GO:0061915	1125
GO:0070631	1126
GO:0070727	1127
GO:0071166	1128
GO:0120290	1129
GO:0032119	1130
GO:0032507	1131
GO:0043181	1132
GO:0051208	1133
GO:0051657	1134
GO:0097577	1135
GO:0097578	1136
GO:0098545	1137
GO:1990659	1138
GO:0035852	1139
GO:0033554	1140
GO:0043503	1141
GO:0061646	1142
GO:0061862	1143
GO:0070887	1144
GO:0071216	1145
GO:0071402	1146
GO:0104004	1147
GO:1990394	1148
GO:0006855	1149
GO:0015780	1150
GO:0015791	1151
GO:0015897	1152
GO:0015905	1153
GO:0034219	1154
GO:0034220	1155
GO:0034486	1156
GO:0035378	1157
GO:0035382	1158
GO:0035461	1159
GO:0035672	1160
GO:0045117	1161
GO:0046618	1162
GO:0046967	1163
GO:0071806	1164
GO:0071918	1165
GO:0071994	1166
GO:0072530	1167
GO:0072531	1168
GO:0080162	1169
GO:0080170	1170
GO:0098739	1171
GO:0140115	1172
GO:0140317	1173
GO:0140820	1174
GO:1901477	1175
GO:1901642	1176
GO:1901679	1177
GO:1902047	1178
GO:1902418	1179
GO:1902616	1180
GO:1903825	1181
GO:1990542	1182
GO:0051642	1183
GO:0006914	1184
GO:0032258	1185
GO:0042546	1186
GO:0071555	1187
GO:0071669	1188
GO:0071852	1189
GO:0016043	1190
GO:0044085	1191
GO:0001502	1192
GO:0098630	1193
GO:0001927	1194
GO:0002552	1195
GO:0002553	1196
GO:0002554	1197
GO:0002555	1198
GO:0002556	1199
GO:0002557	1200
GO:0006904	1201
GO:0016082	1202
GO:0061789	1203
GO:0070560	1204
GO:0090522	1205
GO:0099500	1206
GO:0140028	1207
GO:0032940	1208
GO:0140353	1209
GO:0070458	1210
GO:0098849	1211
GO:0098869	1212
GO:0110052	1213
GO:0110095	1214
