Term	Index	Ancestors
GO:0048532	349	0 9
GO:0048646	350	0 9
GO:0048856	351	0 9
GO:0060033	352	0 9
GO:0090644	353	0 2 9 13 16 38 373 383 384 385 494 2257 2291 2322
GO:0090693	354	0 9
GO:0097737	355	0 9
GO:0098727	356	0 9
GO:0030447	357	0 10
GO:0048589	358	0 10
GO:0080190	359	0 10
GO:0031987	360	0 11
GO:0033058	361	0 11
GO:0036268	362	0 11
GO:0042330	363	0 11
GO:0060361	364	0 11
GO:0071965	365	0 8 11 326
GO:0033060	366	0 12
GO:0043476	367	0 12 16 384
GO:0048066	368	0 12
GO:0031640	369	0 4 13 75
GO:0035821	370	0 13
GO:0044111	371	0 13
GO:0044403	372	0 13
GO:0051707	373	0 13 16 384 385 2322
GO:0022403	374	0 14
GO:0022601	375	0 14
GO:0044851	376	0 14
GO:0060206	377	0 14
GO:0072690	378	0 14
GO:1990636	379	0 14
GO:0007623	380	0 15
GO:0007624	381	0 15
GO:0042698	382	0 6 15 232
GO:0006950	383	0 16
GO:0009605	384	0 16
GO:0009607	385	0 16
GO:0009628	386	0 16
GO:0009719	387	0 16
GO:0014823	388	0 16
GO:0014854	389	0 16
GO:0014874	390	0 16
GO:0042221	391	0 16
GO:0043500	392	0 8 16 283 1632
GO:0051606	393	0 16
GO:0051775	394	0 16
GO:0031503	395	0 17
GO:0033036	396	0 17
GO:0035732	397	0 17
GO:0036214	398	0 4 17 98 933
GO:0051234	399	0 17
GO:0051235	400	0 17
GO:0051640	401	0 17
GO:0000128	402	0 4 18 84 803 3771
GO:0000758	403	0 4 18 84 803
GO:0035176	404	0 8 18 289
GO:0044010	405	0 4 18 126 1193 4831
GO:0099120	406	0 9 18 351
GO:0120318	407	0 8 18 289
GO:0031413	408	0 19
GO:0032268	409	0 19
GO:0050789	410	0 19
GO:0060378	411	0 6 8 19 232 319
GO:0065008	412	0 19
GO:0065009	413	0 19
GO:0140845	414	0 19
GO:0140846	415	0 19
GO:0140847	416	0 19
GO:0009407	417	0 3 4 20 49 53 58 566 608
GO:0010127	418	0 20
GO:0010312	419	0 20
GO:0051410	420	0 20
GO:0061687	421	0 20
GO:0071722	422	0 20
GO:0140725	423	0 20
GO:0140729	424	0 20
GO:0031214	425	0 9 21 351 2026
GO:0000747	426	0 1 22
GO:0000748	427	0 1 22
GO:0007114	428	0 1 4 23 25 112
GO:0030436	429	0 1 9 23 348
GO:0048624	430	0 1 6 8 9 23 186 232 319 351 2026 5809
GO:0001780	431	0 2 19 28 32 412 2517 7122
GO:0002260	432	0 2 19 28 412 2517 7122
GO:0033023	433	0 2 19 28 32 412 2517 7122
GO:0035702	434	0 2 19 28 32 412 2517 7122
GO:0036145	435	0 2 19 28 412 2517 7122
GO:0061519	436	0 2 19 28 32 412 2517 7122
GO:1990959	437	0 2 19 28 32 412 2517 7122
GO:1990960	438	0 2 19 28 32 412 2517 7122
GO:0002201	439	0 2 29
GO:0002202	440	0 2 29
GO:0002562	441	0 2 3 4 29 48 58 59 65 552 666 683 685 698 738 748 3440 3491 8439 14940
GO:0002563	442	0 2 29
GO:0002565	443	0 2 3 4 29 48 58 59 65 552 666 683 685 698 738 748 3440 3491 8439 14940
GO:0002566	444	0 2 29
GO:0002567	445	0 2 29
GO:0002568	446	0 2 29
GO:0002569	447	0 2 29
GO:0016445	448	0 2 29
GO:0002263	449	0 2 4 30 74
GO:0002432	450	0 2 30
